Ref,Val,Package,PosX,PosY,Rot,Side
"HE95","49E","SW_MX_HE_90deg_1u",368.985000,-137.000000,180.000000,bottom
"HE96","49E","SW_MX_HE_90deg_1u",388.035000,-137.000000,180.000000,bottom
"HE97","49E","SW_MX_HE_90deg_1u",407.085000,-137.000000,180.000000,bottom
"HE98","49E","SW_MX_HE_90deg_1u",411.847500,-60.800000,180.000000,bottom
"J1","USB C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",103.312149,-28.117351,0.000000,bottom
"J2","LED_EXP","JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical",45.035000,-74.460000,-90.000000,bottom
"J5","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",53.650000,-37.575000,0.000000,bottom
"J6","Conn_01x03","JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",36.875000,-44.625000,90.000000,bottom
"J7","Conn_01x03","JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",36.875000,-37.400000,90.000000,bottom
"LED1","SK6812","LED_MX_6028R-ROT",121.335000,-36.987500,180.000000,bottom
"LED2","SK6812","LED_MX_6028R-ROT",145.147500,-36.987500,180.000000,bottom
"LED3","SK6812","LED_MX_6028R-ROT",164.197500,-36.987500,180.000000,bottom
"LED4","SK6812","LED_MX_6028R-ROT",183.247500,-36.987500,180.000000,bottom
"LED5","SK6812","LED_MX_6028R-ROT",202.297500,-36.987500,180.000000,bottom
"LED6","SK6812","LED_MX_6028R-ROT",226.110000,-36.987500,180.000000,bottom
"LED7","SK6812","LED_MX_6028R-ROT",245.160000,-36.987500,180.000000,bottom
"LED8","SK6812","LED_MX_6028R-ROT",264.210000,-36.987500,180.000000,bottom
"LED9","SK6812","LED_MX_6028R-ROT",283.260000,-36.987500,180.000000,bottom
"LED10","SK6812","LED_MX_6028R-ROT",307.072500,-36.987500,180.000000,bottom
"LED11","SK6812","LED_MX_6028R-ROT",326.122500,-36.987500,180.000000,bottom
"LED12","SK6812","LED_MX_6028R-ROT",345.172500,-36.987500,180.000000,bottom
"LED13","SK6812","LED_MX_6028R-ROT",364.222500,-36.987500,180.000000,bottom
"LED14","SK6812","LED_MX_6028R-ROT",388.035000,-36.987500,180.000000,bottom
"LED15","SK6812","LED_MX_6028R",35.610000,-60.800000,180.000000,bottom
"LED16","SK6812","LED_MX_6028R",54.660000,-60.800000,180.000000,bottom
"LED17","SK6812","LED_MX_6028R",73.710000,-60.800000,180.000000,bottom
"LED18","SK6812","LED_MX_6028R",92.760000,-60.800000,180.000000,bottom
"LED19","SK6812","LED_MX_6028R",121.335000,-60.800000,180.000000,bottom
"LED20","SK6812","LED_MX_6028R",140.385000,-60.800000,180.000000,bottom
"LED21","SK6812","LED_MX_6028R",159.435000,-60.800000,180.000000,bottom
"LED22","SK6812","LED_MX_6028R",178.485000,-60.800000,180.000000,bottom
"LED23","SK6812","LED_MX_6028R",197.535000,-60.800000,180.000000,bottom
"LED24","SK6812","LED_MX_6028R",216.585000,-60.800000,180.000000,bottom
"LED25","SK6812","LED_MX_6028R",235.635000,-60.800000,180.000000,bottom
"LED26","SK6812","LED_MX_6028R",254.685000,-60.800000,180.000000,bottom
"LED27","SK6812","LED_MX_6028R",273.735000,-60.800000,180.000000,bottom
"LED28","SK6812","LED_MX_6028R",292.785000,-60.800000,180.000000,bottom
"LED29","SK6812","LED_MX_6028R",311.835000,-60.800000,180.000000,bottom
"LED30","SK6812","LED_MX_6028R",330.885000,-60.800000,180.000000,bottom
"LED31","SK6812","LED_MX_6028R",349.935000,-60.800000,180.000000,bottom
"LED32","SK6812","LED_MX_6028R",378.510000,-60.800000,180.000000,bottom
"LED33","SK6812","LED_MX_6028R-ROT",35.610000,-79.850000,180.000000,bottom
"LED34","SK6812","LED_MX_6028R-ROT",54.660000,-79.850000,180.000000,bottom
"LED35","SK6812","LED_MX_6028R-ROT",73.710000,-79.850000,180.000000,bottom
"LED36","SK6812","LED_MX_6028R",92.760000,-89.375000,180.000000,bottom
"LED37","SK6812","LED_MX_6028R-ROT",126.097500,-79.850000,180.000000,bottom
"LED38","SK6812","LED_MX_6028R-ROT",149.910000,-79.850000,180.000000,bottom
"LED39","SK6812","LED_MX_6028R-ROT",168.960000,-79.850000,180.000000,bottom
"LED40","SK6812","LED_MX_6028R-ROT",188.010000,-79.850000,180.000000,bottom
"LED41","SK6812","LED_MX_6028R-ROT",207.060000,-79.850000,180.000000,bottom
"LED42","SK6812","LED_MX_6028R-ROT",226.110000,-79.850000,180.000000,bottom
"LED43","SK6812","LED_MX_6028R-ROT",245.160000,-79.850000,180.000000,bottom
"LED44","SK6812","LED_MX_6028R-ROT",264.210000,-79.850000,180.000000,bottom
"LED45","SK6812","LED_MX_6028R-ROT",283.260000,-79.850000,180.000000,bottom
"LED46","SK6812","LED_MX_6028R-ROT",302.310000,-79.850000,180.000000,bottom
"LED47","SK6812","LED_MX_6028R-ROT",321.360000,-79.850000,180.000000,bottom
"LED48","SK6812","LED_MX_6028R-ROT",340.410000,-79.850000,180.000000,bottom
"LED49","SK6812","LED_MX_6028R-ROT",359.460000,-79.850000,180.000000,bottom
"LED50","SK6812","LED_MX_6028R-ROT",383.272500,-79.850000,180.000000,bottom
"LED51","SK6812","LED_MX_6028R-ROT",411.847500,-79.850000,180.000000,bottom
"LED52","SK6812","LED_MX_6028R",35.610000,-98.900000,180.000000,bottom
"LED53","SK6812","LED_MX_6028R",54.660000,-98.900000,180.000000,bottom
"LED54","SK6812","LED_MX_6028R",73.710000,-98.900000,180.000000,bottom
"LED55","SK6812","LED_MX_6028R",128.478750,-98.900000,180.000000,bottom
"LED56","SK6812","LED_MX_6028R",154.672500,-98.900000,180.000000,bottom
"LED57","SK6812","LED_MX_6028R",173.722500,-98.900000,180.000000,bottom
"LED58","SK6812","LED_MX_6028R",192.772500,-98.900000,180.000000,bottom
"LED59","SK6812","LED_MX_6028R",211.822500,-98.900000,180.000000,bottom
"LED60","SK6812","LED_MX_6028R",230.872500,-98.900000,180.000000,bottom
"LED61","SK6812","LED_MX_6028R",249.922500,-98.900000,180.000000,bottom
"LED62","SK6812","LED_MX_6028R",268.972500,-98.900000,180.000000,bottom
"LED63","SK6812","LED_MX_6028R",288.022500,-98.900000,180.000000,bottom
"LED64","SK6812","LED_MX_6028R",307.072500,-98.900000,180.000000,bottom
"LED65","SK6812","LED_MX_6028R",326.122500,-98.900000,180.000000,bottom
"LED66","SK6812","LED_MX_6028R",345.172500,-98.900000,180.000000,bottom
"LED67","SK6812","LED_MX_6028R",376.128750,-98.900000,180.000000,bottom
"LED68","SK6812","LED_MX_6028R",411.847500,-98.900000,180.000000,bottom
"LED69","SK6812","LED_MX_6028R-ROT",35.610000,-117.950000,180.000000,bottom
"LED70","SK6812","LED_MX_6028R-ROT",54.660000,-117.950000,180.000000,bottom
"LED71","SK6812","LED_MX_6028R-ROT",73.710000,-117.950000,180.000000,bottom
"LED72","SK6812","LED_MX_6028R-ROT",92.760000,-127.475000,180.000000,bottom
"LED73","SK6812","LED_MX_6028R-ROT",133.241250,-117.950000,180.000000,bottom
"LED74","SK6812","LED_MX_6028R-ROT",164.197500,-117.950000,180.000000,bottom
"LED75","SK6812","LED_MX_6028R-ROT",183.247500,-117.950000,180.000000,bottom
"LED76","SK6812","LED_MX_6028R-ROT",202.297500,-117.950000,180.000000,bottom
"LED77","SK6812","LED_MX_6028R-ROT",221.347500,-117.950000,180.000000,bottom
"LED78","SK6812","LED_MX_6028R-ROT",240.397500,-117.950000,180.000000,bottom
"LED79","SK6812","LED_MX_6028R-ROT",259.447500,-117.950000,180.000000,bottom
"LED80","SK6812","LED_MX_6028R-ROT",278.497500,-117.950000,180.000000,bottom
"LED81","SK6812","LED_MX_6028R-ROT",297.547500,-117.950000,180.000000,bottom
"LED82","SK6812","LED_MX_6028R-ROT",316.597500,-117.950000,180.000000,bottom
"LED83","SK6812","LED_MX_6028R-ROT",335.647500,-117.950000,180.000000,bottom
"LED84","SK6812","LED_MX_6028R-ROT",361.841250,-117.950000,180.000000,bottom
"LED85","SK6812","LED_MX_6028R-ROT",388.035000,-117.950000,180.000000,bottom
"LED86","SK6812","LED_MX_6028R",35.610000,-137.000000,180.000000,bottom
"LED87","SK6812","LED_MX_6028R",64.185000,-137.000000,180.000000,bottom
"LED88","SK6812","LED_MX_6028R",123.716250,-137.000000,180.000000,bottom
"LED89","SK6812","LED_MX_6028R",147.528750,-137.000000,180.000000,bottom
"LED90","SK6812","LED_MX_6028R",171.341250,-137.000000,180.000000,bottom
"LED91","SK6812","LED_MX_6028R",242.778750,-137.000000,180.000000,bottom
"LED92","SK6812","LED_MX_6028R",311.835000,-137.000000,180.000000,bottom
"LED93","SK6812","LED_MX_6028R",330.885000,-137.000000,180.000000,bottom
"LED94","SK6812","LED_MX_6028R",349.935000,-137.000000,180.000000,bottom
"LED95","SK6812","LED_MX_6028R",368.985000,-137.000000,180.000000,bottom
"LED96","SK6812","LED_MX_6028R",388.035000,-137.000000,180.000000,bottom
"LED97","SK6812","LED_MX_6028R",407.085000,-137.000000,180.000000,bottom
"LED98","SK6812","LED_MX_6028R",411.847500,-60.800000,180.000000,bottom
"Q1","AO3401A","SOT-23",110.742204,-45.395739,0.000000,bottom
"Q2","BSS138","SOT-23",110.752500,-48.840001,0.000000,bottom
"R1","100K","R_0603_1608Metric",108.028150,-45.380000,90.000000,bottom
"R2","100K","R_0603_1608Metric",106.550000,-48.835000,-90.000000,bottom
"R3","1M","R_0603_1608Metric",108.050000,-48.833820,-90.000000,bottom
"R4","100R","R_0603_1608Metric",92.860000,-47.445000,-90.000000,bottom
"R5","100R","R_0603_1608Metric",94.336667,-47.445000,-90.000000,bottom
"R6","100R","R_0603_1608Metric",95.813333,-47.445000,-90.000000,bottom
"R7","100R","R_0603_1608Metric",97.290000,-47.445000,-90.000000,bottom
"R8","5.1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",100.020000,-34.610000,180.000000,bottom
"R9","5.1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",105.732149,-34.984851,-90.000000,bottom
"R10","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",62.922500,-40.825000,180.000000,bottom
"R11","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",80.890000,-105.920000,-90.000000,bottom
"R12","330","R_0603_1608Metric",115.561719,-42.841475,0.000000,bottom
"RST_BTN1","SKRPACE010","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",63.400000,-44.000000,-90.000000,bottom
"U1","AP2112K-3.3","SOT-23-5",110.062148,-38.204851,-90.000000,bottom
"U2","SN74LV1T125DBV","SOT-23-5",109.592500,-42.000001,0.000000,bottom
"U3","USBLC6-2SC6","SOT-23-6",103.320574,-35.921671,-90.000000,bottom
"U4","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",81.886719,-42.341475,0.000000,bottom
"U5","ADG732BSUZ-REEL","SU_48_ADI-L",110.981154,-90.200129,45.000000,bottom
"U6","ADG732BSUZ-REEL","SU_48_ADI-L",178.703691,-90.222779,135.000000,bottom
"U7","ADG732BSUZ-REEL","SU_48_ADI-L",254.416652,-90.222779,135.000000,bottom
"U8","ADG732BSUZ-REEL","SU_48_ADI-L",330.976785,-90.222779,135.000000,bottom
"Y1","8Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",67.426719,-44.076475,0.000000,bottom
